sku,image_url,title,description,weight,price,discount_price,discount_start,discount_end
21,https://static.boredpanda.com/blog/wp-content/uploads/2016/10/worlds-most-beautiful-cats-45-57fc8fea6880b__700.jpg,Lynx,Lynx,4,2000,1000,2017-12-08,2018-02-20
22,https://piximus.net/media2/49569/chimera-kitten-1.jpg,Chimera Cat,Chimera Cat,3,2200,,,
23,https://www.pets4homes.co.uk/images/articles/2260/large/how-to-make-sure-a-sphinx-cats-skin-stays-healthy-545a2db010835.jpg,Sphinx,Sphinx,3,2200,,,
24,https://static.boredpanda.com/blog/wp-content/uploads/2016/10/worlds-most-beautiful-cats-45-57fc8fea6880b__700.jpg,Lynx,Lynx,4,2000,1000,2017-12-08,2018-02-20
25,https://piximus.net/media2/49569/chimera-kitten-1.jpg,Chimera Cat,Chimera Cat,3,2200,,,
26,https://www.pets4homes.co.uk/images/articles/2260/large/how-to-make-sure-a-sphinx-cats-skin-stays-healthy-545a2db010835.jpg,Sphinx,Sphinx,3,2200,,,
27,https://static.boredpanda.com/blog/wp-content/uploads/2016/10/worlds-most-beautiful-cats-45-57fc8fea6880b__700.jpg,Lynx,Lynx,4,2000,1000,2017-12-08,2018-02-20
28,https://piximus.net/media2/49569/chimera-kitten-1.jpg,Chimera Cat,Chimera Cat,3,2200,,,
29,https://www.pets4homes.co.uk/images/articles/2260/large/how-to-make-sure-a-sphinx-cats-skin-stays-healthy-545a2db010835.jpg,Sphinx,Sphinx,3,2200,,,
30,https://www.pets4homes.co.uk/images/articles/2260/large/how-to-make-sure-a-sphinx-cats-skin-stays-healthy-545a2db010835.jpg,Sphinx,Sphinx,3,2200,,,
