sku,image_url,title,description,weight,price,discount_price,discount_start,discount_end
11,https://cdn-images-1.medium.com/max/1600/1*u2RNEr9s4UwDHFOZLNsb-A.jpeg,Chimp,Chimp,4,2000,1000,2017-12-08,2018-02-20
12,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Olive_baboon1.jpg/763px-Olive_baboon1.jpg,Baboon,Baboon,3,2200,,,
13,http://dingo.care2.com/pictures/greenliving/uploads/2017/06/Male-gorilla.jpg,Gorilla,Gorilla,3,2200,,,
14,https://cdn-images-1.medium.com/max/1600/1*u2RNEr9s4UwDHFOZLNsb-A.jpeg,Chimp,Chimp,4,2000,1000,2017-12-08,2018-02-20
15,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Olive_baboon1.jpg/763px-Olive_baboon1.jpg,Baboon,Baboon,3,2200,,,
16,http://dingo.care2.com/pictures/greenliving/uploads/2017/06/Male-gorilla.jpg,Gorilla,Gorilla,3,2200,,,
17,https://cdn-images-1.medium.com/max/1600/1*u2RNEr9s4UwDHFOZLNsb-A.jpeg,Chimp,Chimp,4,2000,1000,2017-12-08,2018-02-20
18,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Olive_baboon1.jpg/763px-Olive_baboon1.jpg,Baboon,Baboon,3,2200,,,
19,http://dingo.care2.com/pictures/greenliving/uploads/2017/06/Male-gorilla.jpg,Gorilla,Gorilla,3,2200,,,
20,http://dingo.care2.com/pictures/greenliving/uploads/2017/06/Male-gorilla.jpg,Gorilla,Gorilla,3,2200,,,
